Element,xc,yc,S11,S22,S12,E11,E22,G12
248,0.138888888888889,0.0266666666666667,101999873.33,7964376.62061362,-868696.998099556,0.000474336001637218,-0.00010778850180184,-1.07552961669469e-05
249,0.194444444444444,0.0133333333333333,101543965.900189,1595076.19179628,453366.198718191,0.00048126401448881,-0.000137467207515526,5.61310531746332e-06
250,0.180555555555556,0.0266666666666667,102082850.369923,4083907.39147684,-322655.902749559,0.000480274657868953,-0.000126385465330953,-3.9947873673755e-06
251,0.236111111111111,0.0133333333333333,101665140.157912,412501.834122717,347092.882364276,0.000483530426703216,-0.0001432716200631,4.2973404483196e-06
252,0.222222222222222,0.0266666666666667,101828085.457206,1680312.05890149,-15873.8719097353,0.000482495199235885,-0.000137467207515526,-1.9653365221577e-07
253,0.277777777777778,0.0133333333333333,101481692.582018,-168243.805912551,246632.900895469,0.000483486503446626,-0.000145775007526275,3.05355020156295e-06
254,0.263888888888889,0.0266666666666667,101446270.385796,346840.9024879,128624.893150511,0.000482581991024046,-0.0001432716200631,1.59249867710156e-06
255,0.319444444444444,0.0133333333333333,101183991.304245,-394689.920966372,167155.683699059,0.00048239237276445,-0.000146428034820189,2.06954656008359e-06
256,0.305555555555556,0.0266666666666667,101061805.978936,-294209.786837097,177550.345234527,0.000481666994833271,-0.000145775007526275,2.19824236957033e-06
257,0.361111111111111,0.0133333333333333,100879015.250166,-432345.332183108,109563.051935608,0.000480993899284863,-0.000146171666224919,1.35649492872657e-06
258,0.347222222222222,0.0266666666666667,100733682.634746,-529782.521815974,175956.485823665,0.000480441035196623,-0.000146428034820189,2.17850887210252e-06
259,0.402777777777778,0.0133333333333333,100615993.772968,-382759.29859674,69826.6673302128,0.000479670578869272,-0.000145559797288034,8.64520643135969e-07
260,0.388888888888889,0.0266666666666667,100480018.072866,-552044.485373244,151400.710053871,0.000479264911516561,-0.000146171666224919,1.87448498161936e-06
261,0.444444444444444,0.0133333333333333,100410355.887889,-303262.995187316,43271.5083566275,0.000478577784697357,-0.000144887475055019,5.35742484415389e-07
262,0.430555555555556,0.0266666666666667,100297400.416649,-478337.30549236,119614.350438699,0.000478290007658557,-0.000145559797288034,1.48093957686009e-06
263,0.486111111111111,0.0133333333333333,100260262.655937,-223083.290885448,25970.4741063366,0.000477748512586679,-0.000144291248036507,3.2153920322131e-07
264,0.472222222222222,0.0266666666666667,100173410.764949,-374346.532069355,88816.7525069369,0.000477551022497949,-0.000144887475055019,1.09963598341922e-06
265,0.527777777777778,0.0133333333333333,100156615.174685,-154845.286563553,14973.7074214399,0.00047715747028883,-0.000143818237328424,1.85388758551161e-07
266,0.513888888888889,0.0266666666666667,100093649.554934,-273067.221186269,62667.4733524167,0.000477026522482334,-0.000144291248036507,7.75883003410874e-07
267,0.569444444444445,0.0133333333333333,100088530.457837,-102123.749199621,8174.08339796983,0.000476757940869509,-0.000143469918507384,1.01202937308198e-07
268,0.555555555555555,0.0266666666666667,100045110.184663,-188296.783570334,42220.7958226413,0.000476674281998732,-0.000143818237328424,5.22733662566035e-07
269,0.611111111111111,0.0133333333333333,100045987.166156,-64077.8255919553,4107.13550219879,0.000476501002446826,-0.000143227971311613,5.08502490748422e-08
270,0.597222222222222,0.0266666666666667,100017408.967014,-123460.196446415,27179.6436616877,0.00047644974774261,-0.000143469918507384,3.3650987390661e-07
271,0.652777777777778,0.0133333333333333,100020840.776809,-38108.8304986432,1774.96671805556,0.000476344159171232,-0.000143068386016864,2.19757784140212e-08
272,0.638888888888889,0.0266666666666667,100002897.504688,-77004.7240323983,16662.7886994737,0.000476314280580464,-0.000143227971311613,2.06301193422055e-07
273,0.694444444444445,0.0133333333333333,100006980.150389,-21261.2572560534,510.492262484555,0.000476254088226503,-0.000142968358582727,6.32038039266591e-09
274,0.680555555555555,0.0266666666666667,99996281.5144607,-45476.6092031598,9642.27905609239,0.000476237735701056,-0.000143068386016864,1.19380597837334e-07
275,0.736111111111111,0.0133333333333333,100000089.458097,-10871.0293905325,-122.533118107188,0.000476206432223403,-0.000142909037461046,-1.51707670037471e-09
276,0.722222222222222,0.0266666666666667,99994090.4832571,-25128.1573955603,5166.97371042989,0.000476198233002266,-0.000142968358582727,6.39720554624653e-08
277,0.777777777777778,0.0133333333333333,99997275.0464851,-4791.72529874742,-401.798594376025,0.000476184345543213,-0.000142876067805925,-4.97464926370317e-09
278,0.763888888888889,0.0266666666666667,99994167.020266,-12647.7607399561,2455.5855244407,0.000476180768326133,-0.000142909037461046,3.04024874454563e-08
279,0.819444444444445,0.0133333333333333,99996689.194105,-1403.70956258476,-498.11501542075,0.000476176715747494,-0.000142859097465686,-6.16713828616167e-09
280,0.805555555555555,0.0266666666666667,99995243.4188053,-5401.21360268444,916.506721740927,0.000476175541823267,-0.000142876067805925,1.13472260786972e-08
281,0.861111111111111,0.0133333333333333,99997207.6257669,475.037409856915,-511.937857490434,0.000476176500545447,-0.000142850891668191,-6.33827823559585e-09
282,0.847222222222222,0.0266666666666667,99996619.5551602,-1424.60124603659,131.610313021284,0.000476176413978733,-0.000142859097465686,1.62946101835875e-09
283,0.902777777777778,0.0133333333333333,99998176.1056965,1716.62484164909,-498.904647042057,0.000476179338658305,-0.000142846362889844,-6.17691467766357e-09
284,0.888888888888889,0.0266666666666667,99997931.2621513,692.128325175494,-172.792372566566,0.000476179636303113,-0.000142850891668191,-2.13933413653844e-09
285,0.944444444444445,0.0133333333333333,99999218.8155919,3034.29304847866,-489.408887494794,0.000476182421560369,-0.0001428415778649,-6.05934813088793e-09
286,0.930555555555555,0.0266666666666667,99998984.4989395,1959.14281453565,-153.733338752795,0.000476182841695691,-0.000142846362889844,-1.90336514646318e-09
287,0.986111111111111,0.0133333333333333,100000086.64633,5177.84398994967,-514.036681729839,0.00047618349187206,-0.000142832610237662,-6.36426367855991e-09
288,0.972222222222222,0.0266666666666667,99999612.7833554,3152.48337752372,127.715520176393,0.00047618412875401,-0.0001428415778649,1.58123977361249e-09
289,0.0277777777777778,0.0533333333333333,93539089.4382821,18302786.6139873,-2862804.61511802,0.000419277397400409,-4.64711438928446e-05,-3.5444247615747e-05
290,0.0138888888888889,0.0666666666666667,97654265.1662744,29296279.5498823,-6793480.55729323,0.000423168482387189,0,-8.41097592807733e-05
291,0.0694444444444444,0.0533333333333333,96708665.9347173,11268701.1092718,-2004953.90622882,0.00044441931239017,-8.44947555768732e-05,-2.48232388390235e-05
292,0.0555555555555556,0.0666666666666667,100346537.10753,20345020.9147617,-5319822.87339476,0.000448776337300484,-4.64711438928446e-05,-6.58644736706018e-05
293,0.111111111111111,0.0533333333333333,99118971.1030598,6393452.08741748,-971044.108779875,0.000462861597508736,-0.000111153520207145,-1.2022450870608e-05
294,0.0972222222222222,0.0666666666666667,101507970.663661,12708492.527955,-3236235.655224,0.000465216299548928,-8.44947555768732e-05,-4.00676795408686e-05
