Node,x,y,Ux,Uy
192,0.666666666666667,0.08,0.00031443220380634,-8.97582446645546e-06
193,0.708333333333333,0.08,0.000334274040606642,-8.81362308590291e-06
194,0.75,0.08,0.000354115109382657,-8.65438874711978e-06
195,0.791666666666667,0.08,0.000373955894021394,-8.49707651576866e-06
196,0.833333333333333,0.08,0.000393796648350508,-8.34093183682728e-06
197,0.875,0.08,0.000413637486190277,-8.18542637075251e-06
198,0.916666666666667,0.08,0.000433478437841685,-8.03018956781637e-06
199,0.958333333333333,0.08,0.000453319482514165,-7.87494250274997e-06
200,1,0.08,0.000473160562077783,-7.71942724448858e-06
201,0,0.12,0,0
202,0.0416666666666667,0.12,1.80293462558811e-05,-5.71348234662552e-06
203,0.0833333333333333,0.12,3.7076878688056e-05,-1.01834530255454e-05
204,0.125,0.12,5.66003163112729e-05,-1.3164521988536e-05
205,0.166666666666667,0.12,7.63173788059056e-05,-1.49451213355073e-05
206,0.208333333333333,0.12,9.61075140771228e-05,-1.5883522611999e-05
207,0.25,0.12,0.000115924257545314,-1.62810887246279e-05
208,0.291666666666667,0.12,0.000135750896419669,-1.63573938043562e-05
209,0.333333333333333,0.12,0.000155581719027046,-1.62587947300613e-05
210,0.375,0.12,0.000175414852992382,-1.60759574770624e-05
211,0.416666666666667,0.12,0.000195249682508206,-1.58610379372104e-05
212,0.458333333333333,0.12,0.000215085948319043,-1.56414275521263e-05
213,0.5,0.12,0.000234923455837476,-1.54296247912095e-05
214,0.541666666666667,0.12,0.000254762002511473,-1.52298103216856e-05
215,0.583333333333333,0.12,0.000274601378469199,-1.50419563624264e-05
216,0.625,0.12,0.000294441384316935,-1.48642350014757e-05
217,0.666666666666667,0.12,0.00031428184612924,-1.4694324790448e-05
218,0.708333333333333,0.12,0.000334122622759314,-1.45300444218966e-05
219,0.75,0.12,0.000353963606385631,-1.4369600772511e-05
220,0.791666666666667,0.12,0.000373804718747324,-1.42116330589374e-05
221,0.833333333333333,0.12,0.000393645905243443,-1.40551615971691e-05
222,0.875,0.12,0.00041348712817228,-1.38995017591142e-05
223,0.916666666666667,0.12,0.000433328359567512,-1.3744174150883e-05
224,0.958333333333333,0.12,0.000453169574895354,-1.3588823567998e-05
225,1,0.12,0.000473010759854753,-1.34331336198594e-05
226,0,0.16,0,0
227,0.0416666666666667,0.16,1.90196523016571e-05,-8.6110864629464e-06
228,0.0833333333333333,0.16,3.85916148258971e-05,-1.45449152183135e-05
229,0.125,0.16,5.81369164419661e-05,-1.82375398448463e-05
230,0.166666666666667,0.16,7.7607374906405e-05,-2.03671450024879e-05
231,0.208333333333333,0.16,9.70661001063064e-05,-2.14775431579519e-05
232,0.25,0.16,0.000116566677168039,-2.19585123446297e-05
233,0.291666666666667,0.16,0.000136133836097768,-2.20728840028716e-05
234,0.333333333333333,0.16,0.000155770499171927,-2.19891142574295e-05
235,0.375,0.16,0.000175467977323166,-2.18096258524052e-05
236,0.416666666666667,0.16,0.000195213411848757,-2.15929195784913e-05
237,0.458333333333333,0.16,0.000214993997568769,-2.13697283142451e-05
238,0.5,0.16,0.000234798887028376,-2.11541895425949e-05
239,0.541666666666667,0.16,0.000254619726778669,-2.09511774254703e-05
240,0.583333333333333,0.16,0.000274450507059175,-2.07608617764344e-05
241,0.625,0.16,0.000294287138077565,-2.0581377641358e-05
242,0.666666666666667,0.16,0.000314126974536691,-2.04102761179942e-05
243,0.708333333333333,0.16,0.000333968391220216,-2.02452314807676e-05
244,0.75,0.16,0.000353810445577694,-2.00843218694357e-05
245,0.791666666666667,0.16,0.000373652629337126,-1.99260840071794e-05
246,0.833333333333333,0.16,0.000393494696559184,-1.97694615361005e-05
247,0.875,0.16,0.000413336551346449,-1.96137138154138e-05
248,0.916666666666667,0.16,0.0004331781791654,-1.94583201300809e-05
249,0.958333333333333,0.16,0.000453019608292454,-1.93028983252975e-05
250,1,0.16,0.000472860892552886,-1.91471560232201e-05
251,0,0.2,0,0
252,0.0416666666666667,0.2,2.19340599677358e-05,-1.27571284515164e-05
253,0.0833333333333333,0.2,4.174924729906e-05,-1.95832398477372e-05
254,0.125,0.2,6.06224894412008e-05,-2.35762468606181e-05
255,0.166666666666667,0.2,7.93067300652745e-05,-2.58377740965354e-05
256,0.208333333333333,0.2,9.81141426814101e-05,-2.70237250754054e-05
257,0.25,0.2,0.000117142068158461,-2.7556673238673e-05
258,0.291666666666667,0.2,0.00013639234085128,-2.77091220415821e-05
259,0.333333333333333,0.2,0.000155829622809241,-2.76529998070558e-05
260,0.375,0.2,0.000175409372709798,-2.74928724494257e-05
261,0.416666666666667,0.2,0.000195090377235027,-2.72891361228879e-05
262,0.458333333333333,0.2,0.000214839342254998,-2.70742314541808e-05
263,0.5,0.2,0.000234631548875394,-2.68637214116512e-05
264,0.541666666666667,0.2,0.000254449775002956,-2.66635815794158e-05
265,0.583333333333333,0.2,0.000274282660998537,-2.64747795319093e-05
266,0.625,0.2,0.000294123099728151,-2.6295997190195e-05
267,0.666666666666667,0.2,0.000313966890517229,-2.61251420809174e-05
268,0.708333333333333,0.2,0.000333811715709603,-2.59601092220051e-05
269,0.75,0.2,0.000353656413591577,-2.57991058353924e-05
270,0.791666666666667,0.2,0.000373500490300661,-2.56407388853304e-05
271,0.833333333333333,0.2,0.000393343809812439,-2.54839866589689e-05
272,0.875,0.2,0.00041318640997448,-2.53281235957462e-05
273,0.916666666666667,0.2,0.000433028405683967,-2.51726358534713e-05
274,0.958333333333333,0.2,0.000452869953368015,-2.50171497020245e-05
275,1,0.2,0.000472711258572249,-2.48614003474307e-05
