element,integration_point,centroid_x,centroid_y,S11,S22,S12
219,1,0.48333332935969,0.26666667064031,100246760.25142023,-167708.9474341981,146665.0455404463
220,1,0.466666658719381,0.283333341280619,99985004.84231694,-359862.75390223414,268871.37280969456
221,1,0.533333341280619,0.26666667064031,100137513.33156309,-110858.95871350542,87865.64218903313
222,1,0.51666667064031,0.283333341280619,99974857.75465375,-249279.69646414742,168924.64998206528
223,1,0.583333353201548,0.26666667064031,100070174.26347879,-68116.50890906155,49245.264354338084
224,1,0.566666682561239,0.283333341280619,99975668.3641376,-159412.44894114882,99268.83649335374
225,1,0.633333325386047,0.26666667064031,100031594.42465776,-39043.509812589735,25466.911107835578
226,1,0.616666674613953,0.283333341280619,99980578.19788027,-94995.3285886161,54266.003256800745
227,1,0.683333317438761,0.26666667064031,100011241.44962604,-20740.042089410126,11716.24317503075
228,1,0.666666646798452,0.283333341280619,99986132.00349477,-52682.23616148904,27076.300152824282
229,1,0.73333332935969,0.26666667064031,100001651.29249436,-9988.29308322817,4284.808227018663
230,1,0.716666658719381,0.283333341280619,99990880.7574245,-26848.24974987656,11723.786771397306
231,1,0.783333341280619,0.26666667064031,99997973.78258985,-4077.540299296379,584.812951030266
232,1,0.76666667064031,0.283333341280619,99994432.65746129,-12153.883593149483,3712.592910982864
233,1,0.833333353201548,0.26666667064031,99997278.83586308,-979.1894235089421,-1050.9892889670214
234,1,0.816666682561239,0.283333341280619,99996876.02930795,-4406.866283867508,-19.705292385799538
235,1,0.883333325386047,0.26666667064031,99997910.5985472,760.282854642719,-1609.552584323023
236,1,0.866666674613953,0.283333341280619,99998458.77753069,-625.2069232277572,-1384.1215950026037
237,1,0.933333317438761,0.26666667064031,99998978.69170919,2222.8028140999377,-1601.263246717273
238,1,0.916666646798452,0.283333341280619,99999423.55951646,1214.1711454167962,-1449.4806687246962
239,1,0.98333332935969,0.26666667064031,99999978.40804477,4419.483904734254,-1180.834263262837
240,1,0.966666658719381,0.283333341280619,99999966.76666518,2519.225300896913,-666.0919599742189
241,1,0.0333333338300387,0.316666672627131,94007661.71348934,12942486.672402486,-7084541.6708973935
242,1,0.0166666669150194,0.333333333333333,103378004.92965451,31013401.47889635,-14472571.04999125
243,1,0.0833333345750968,0.316666672627131,97546743.00173992,6124176.2079915255,-3989594.6775419894
244,1,0.0666666676600774,0.333333333333333,102310827.03804635,15433436.269769587,-7778571.102951462
245,1,0.133333337803682,0.316666672627131,99392860.02004206,2783861.0401538797,-1523352.4779697733
246,1,0.116666669646899,0.333333333333333,100454940.48883858,6996635.454121128,-2943504.99097739
247,1,0.183333337306976,0.316666672627131,100161486.75272314,1125972.6716433503,-138618.36200776318
248,1,0.16666667163372,0.333333333333333,99360166.64930522,2774053.0289328173,-366591.90910151607
249,1,0.233333334326744,0.316666672627131,100392157.97685838,330730.4944988042,457383.7260812167
250,1,0.216666668653488,0.333333333333333,98980787.42919092,771762.8745836727,718628.8952139823
251,1,0.283333341280619,0.316666672627131,100386034.80697499,-15806.554504998028,604346.4180666241
252,1,0.26666667064031,0.333333333333333,99009669.6486743,-84016.00395642221,993270.7433697984
253,1,0.333333333333333,0.316666672627131,100297492.4010903,-136130.1964923106,543763.4626074845
254,1,0.316666672627131,0.333333333333333,99205103.55174021,-370085.9310754314,900856.2352049178
255,1,0.383333335320155,0.316666672627131,100199509.873424,-151666.41565132514,415237.7870603019
256,1,0.366666664679845,0.333333333333333,99430191.75247961,-396320.391075518,688230.4319434558
257,1,0.433333327372869,0.316666672627131,100120260.17060533,-126502.12332004681,286359.2119373616
