Node,x,y,Ux,Uy
81,0.208333333333333,0.12,9.59932699727847e-05,1.18016026503849e-05
82,0.25,0.12,0.000116038834409016,1.23811627742995e-05
83,0.291666666666667,0.12,0.000136052993293916,1.27137574801168e-05
84,0.333333333333333,0.12,0.000156027362633333,1.29125818499732e-05
85,0.375,0.12,0.000175964962446773,1.30473667258917e-05
86,0.416666666666667,0.12,0.00019587264909317,1.31578685334888e-05
87,0.458333333333333,0.12,0.000215757760562697,1.32647896660663e-05
88,0.5,0.12,0.000235626742135333,1.33775054782623e-05
89,0.541666666666667,0.12,0.00025548471846155,1.34991270609283e-05
90,0.583333333333333,0.12,0.000275335504788575,1.36296223498281e-05
91,0.625,0.12,0.000295181799486485,1.37676256791774e-05
92,0.666666666666667,0.12,0.00031502542707985,1.39114111262937e-05
93,0.708333333333333,0.12,0.000334867569030925,1.40593610208157e-05
94,0.75,0.12,0.000354708956471643,1.42101476827878e-05
95,0.791666666666667,0.12,0.000374550018559859,1.43627646373795e-05
96,0.833333333333333,0.12,0.000394390989532241,1.45164878755482e-05
97,0.875,0.12,0.000414231981218705,1.46708115731409e-05
98,0.916666666666667,0.12,0.00043407302855552,1.48253798183504e-05
99,0.958333333333333,0.12,0.00045391411539453,1.49799204353585e-05
100,1,0.12,0.000473755187574254,1.51341713126791e-05
101,0,0.16,0,0
102,0.0416666666666667,0.16,1.74727830852809e-05,1.75687188953706e-06
103,0.0833333333333333,0.16,3.60279523054492e-05,3.35702394965132e-06
104,0.125,0.16,5.53966789650743e-05,4.64922471489962e-06
105,0.166666666666667,0.16,7.5249657625875e-05,5.58969163315618e-06
106,0.208333333333333,0.16,9.53234952591036e-05,6.22159097184016e-06
107,0.25,0.16,0.000115458428433241,6.62925257734863e-06
108,0.291666666666667,0.16,0.000135575545720532,6.89524515960034e-06
109,0.333333333333333,0.16,0.000155643846358307,7.08153037539415e-06
110,0.375,0.16,0.000175657399124788,7.2284760216973e-06
111,0.416666666666667,0.16,0.000195621807090257,7.35982960098656e-06
112,0.458333333333333,0.16,0.000215546768108319,7.48821103673244e-06
113,0.5,0.16,0.000235442304596673,7.61945108186547e-06
114,0.541666666666667,0.16,0.000255317099663908,7.75557385731697e-06
115,0.583333333333333,0.16,0.000275177976850994,7.89667567289969e-06
116,0.625,0.16,0.000295029948577595,8.04202413534242e-06
117,0.666666666666667,0.16,0.000314876503736847,8.19065123532377e-06
