Elem,xc,yc,s11,s22,s12,e11,e22,g12
86,0.763888888888889,0.0666666666666667,99999189.8144663,-2853.52062783763,1735.58980660851,0.000476190694622165,-0.000142869573642703,2.14882547484863e-08
87,0.819444444444445,0.0533333333333333,100003731.015077,392.675357956439,1265.45103578594,0.000476207681964141,-0.000142860602996024,1.56674890144926e-08
88,0.805555555555555,0.0666666666666667,99999809.5575942,-1542.60625921562,2884.13051122571,0.000476191773045104,-0.000142864216540655,3.57082825199373e-08
89,0.861111111111111,0.0533333333333333,100002964.518696,717.983516756445,1791.04515865771,0.000476203567255433,-0.000142857958914724,2.21748448214765e-08
90,0.847222222222222,0.0666666666666667,100000057.723186,-709.312209319323,2989.09472231158,0.000476191764365946,-0.000142860602996024,3.70078394190958e-08
91,0.902777777777778,0.0533333333333333,100001975.910699,907.713301163167,1761.47102134796,0.000476198588555753,-0.000142855643142421,2.18086888357366e-08
92,0.888888888888889,0.0666666666666667,100000076.544648,-148.408697705716,2575.05866552183,0.000476191052701224,-0.000142857958914724,3.18816787159846e-08
93,0.944444444444445,0.0533333333333333,100001060.101743,1108.84986273572,1351.16248832474,0.00047619394022278,-0.000142853377050762,1.67286784268778e-08
94,0.930555555555555,0.0666666666666667,99999944.6039996,298.321291472763,1876.36660942491,0.000476189786226724,-0.000142855643142421,2.32312056404988e-08
95,0.986111111111111,0.0533333333333333,100000369.036065,1145.28610686585,617.947124780345,0.00047619059738206,-0.000142852216308155,7.65077392585189e-09
96,0.972222222222222,0.0666666666666667,99999723.7237035,707.936451040208,913.921862421307,0.000476188149251277,-0.000142853377050762,1.13152230585495e-08
97,0.0277777777777778,0.0933333333333333,96168417.9973968,17537912.7551855,10301921.3903026,0.000432890686527815,-5.38695840192074e-05,0.000127547598165651
98,0.0138888888888889,0.106666666666667,97665444.5491227,29299633.3647368,6938854.81113519,0.000423216926379532,0,8.59096309950071e-05
99,0.0694444444444444,0.0933333333333333,100380943.126838,9722475.84211515,7641153.16736878,0.000464115239877161,-9.71038433139825e-05,9.46047535007563e-05
100,0.0555555555555556,0.106666666666667,100438293.299982,18818875.345961,5359175.63176643,0.000451393479505684,-5.38695840192074e-05,6.63516982980606e-05
101,0.111111111111111,0.0933333333333333,101482939.277098,4692395.58836286,4228091.25456431,0.000476548669526613,-0.000122630886641745,5.2347796485082e-05
102,0.0972222222222222,0.106666666666667,101712989.084159,10122089.6293114,2809203.65349911,0.000469887439025551,-9.71038433139825e-05,3.478061666237e-05
103,0.152777777777778,0.0933333333333333,100897494.880392,1913412.87674969,1714621.29726126,0.000477730814368417,-0.000135027788511276,2.12286446327585e-05
104,0.138888888888889,0.106666666666667,101904046.194038,4818727.66344485,699315.336580877,0.000478373466166686,-0.000122630886641745,8.65818988147752e-06
105,0.194444444444444,0.0933333333333333,100314404.856409,517432.699239623,325942.419550217,0.000476948452603033,-0.000140842327417538,4.03547757538364e-06
106,0.180555555555556,0.106666666666667,101644345.780615,2137468.14681644,-463021.078725159,0.000480967168269381,-0.000135027788511276,-5.73264192707339e-06
107,0.236111111111111,0.0933333333333333,99971452.7717008,-123828.876723047,-321184.392363683,0.000476231435403418,-0.000143406022420159,-3.97656866735988e-06
108,0.222222222222222,0.106666666666667,101270964.979451,804400.736152403,-929041.20322705,0.000481093546469551,-0.000140842327417538,-1.15024148970968e-05
109,0.277777777777778,0.0933333333333333,99819720.6426394,-368047.663526189,-548242.79856408,0.000475857785436654,-0.00014435220883961,-6.78776798222194e-06
110,0.263888888888889,0.106666666666667,100919539.964203,160597.281027712,-998702.323032273,0.000480339813237596,-0.000143406022420159,-1.23648859042091e-05
111,0.319444444444444,0.0933333333333333,99781627.0968024,-413939.107509766,-561696.899348451,0.000475741946805025,-0.00014451632017405,-6.95434256336178e-06
112,0.305555555555556,0.106666666666667,100633661.883261,-123865.291339584,-880917.289104193,0.000479384864146016,-0.00014435220883961,-1.09065950079567e-05
113,0.361111111111111,0.0933333333333333,99799588.1989656,-370736.627321891,-482276.140667003,0.000475765758034105,-0.000144336252795293,-5.97103793206766e-06
114,0.347222222222222,0.106666666666667,100418653.723926,-222831.119372696,-698559.935683153,0.000478502395522561,-0.00014451632017405,-8.64883729893428e-06
115,0.402777777777778,0.0933333333333333,99838727.0189898,-296589.40954924,-375352.180933599,0.000475846208770736,-0.000144039083405934,-4.64721747822552e-06
116,0.388888888888889,0.106666666666667,100265447.001908,-230978.986439154,-515385.787122024,0.000477784479513523,-0.000144336252795293,-6.38096688817744e-06
