"x","sigma_x_uniform","sigma_x_fixed","sigma_y","tau_xy"
0.1625,100,100.668648899747,-0.300892004886266,2.42135021316968
0.166666666666667,100,100.627025290743,-0.282161380834335,2.34462359669183
0.170833333333333,100,100.587950731727,-0.264577829277087,2.27025584367174
0.175,100,100.551274084095,-0.248073337842878,2.19818090665429
0.179166666666667,100,100.516852588171,-0.232583664676832,2.12833401227312
0.183333333333333,100,100.484551466941,-0.218048160123248,2.06065168991427
0.1875,100,100.454243540334,-0.204409593150241,1.99507179424434
0.191666666666667,100,100.425808850863,-0.191613982888196,1.93153352213431
0.195833333333333,100,100.399134301257,-0.17961043556572,1.86997742447581
0.2,100,100.374113304556,-0.168350987050357,1.81034541335584
0.204166666666667,100,100.350645446967,-0.157790451135032,1.75258076502557
0.208333333333333,100,100.328636163675,-0.147886273653839,1.69662811907095
0.2125,100,100.307996427692,-0.138598392461352,1.64243347416559
0.216666666666667,100,100.288642451705,-0.129889103267305,1.58994418076051
0.220833333333333,100,100.27049540285,-0.121722931282386,1.53910893104075
0.225,100,100.253481130223,-0.114066508600471,1.48987774645471
0.229166666666667,100,100.237529904927,-0.106888457217157,1.4422019630998
0.233333333333333,100,100.222576172363,-0.100159277563421,1.39603421522621
0.2375,100,100.20855831648,-0.0938512424161406,1.35132841710003
0.241666666666667,100,100.19541843563,-0.0879382960336102,1.30803974344767
0.245833333333333,100,100.183102129675,-0.0823959583535833,1.26612460868504
0.25,100,100.171558297963,-0.0772012340834948,1.22554064511763
0.254166666666667,100,100.160738947793,-0.0723325265069453,1.18624668028146
0.258333333333333,100,100.150599012949,-0.0677695558269757,1.1482027135796
0.2625,100,100.141096181922,-0.063493281864859,1.1113698923547
0.266666666666667,100,100.132190735406,-0.0594858309328147,1.07571048752477
0.270833333333333,100,100.123845392667,-0.0557304266999992,1.04118786889708
0.275,100,100.116025166385,-0.0522113248731396,1.00776648026366
0.279166666666667,100,100.108697225591,-0.0489137515160758,0.975411814371382
0.283333333333333,100,100.101830766302,-0.0458238448361064,0.9440903878496
0.2875,100,100.095396889487,-0.0429286002692576,0.913769716169722
0.291666666666667,100,100.089368486003,-0.0402158187012789,0.884418288702466
0.295833333333333,100,100.083720128147,-0.0376740576662306,0.856005543931209
0.3,100,100.078427967489,-0.0352925853698474,0.828501844872813
0.304166666666667,100,100.073469638645,-0.0330613373903798,0.801878454750972
0.308333333333333,100,100.068824168701,-0.030970875915254,0.776107512961368
0.3125,100,100.06447189195,-0.0290123513775895,0.751162011362664
0.316666666666667,100,100.060394369694,-0.0271774663623301,0.727015770922532
0.320833333333333,100,100.056574314794,-0.0254584416574259,0.703643418743651
0.325,100,100.052995520736,-0.0238479843311298,0.68102036549061
0.329166666666667,100,100.049642794938,-0.0223392577219954,0.659122783235166
0.333333333333333,100,100.046501896075,-0.0209258532335774,0.637927583734057
0.3375,100,100.04355947518,-0.019601763831111,0.617412397150726
0.341666666666667,100,100.040803020317,-0.0183613591425693,0.597555551229723
0.345833333333333,100,100.038220804603,-0.0171993620714631,0.578336050930217
0.35,100,100.035801837408,-0.0161108268335388,0.559733558523015
0.354166666666667,100,100.03353581852,-0.0150911183341427,0.541728374153604
0.358333333333333,100,100.031413095128,-0.0141358928074602,0.524301416872139
0.3625,100,100.029424621429,-0.01324107964309,0.507434206129799
0.366666666666667,100,100.027561920732,-0.0124028643294838,0.491108843739699
0.370833333333333,100,100.025817049884,-0.0116176724476779,0.475307996299386
0.375,100,100.024182565894,-0.0108821546524538,0.460014878070977
0.379166666666667,100,100.022651494626,-0.0101931725816027,0.445213234314139
0.383333333333333,100,100.021217301416,-0.00954778563734009,0.430887325066351
0.3875,100,100.019873863527,-0.00894323858711349,0.417021909364264
0.391666666666667,100,100.018615444298,-0.00837694993408924,0.40360222989943
0.395833333333333,100,100.017436668912,-0.00784650101048592,0.390613998101174
0.4,100,100.016332501666,-0.0073496257496557,0.378043379639053
0.404166666666667,100,100.015298224656,-0.00688420109540269,0.365876980336968
0.408333333333333,100,100.014329417799,-0.00644823800947603,0.354101832490783
0.4125,100,100.01342194009,-0.00603987304049138,0.342705381581068
0.416666666666667,100,100.012571912044,-0.00565736041972253,0.33167547337245
0.420833333333333,100,100.011775699225,-0.0052990646512712,0.321000341390943
0.425,100,100.011029896813,-0.00496345356607367,0.310668594770535
0.429166666666667,100,100.010331315136,-0.00464909181104284,0.300669206460292
0.433333333333333,100,100.009676966103,-0.00435463474637927,0.290991501783239
0.4375,100,100.009064050502,-0.00407882272571995,0.281625147338258
0.441666666666667,100,100.008489946079,-0.00382047573533373,0.272560140236327
0.445833333333333,100,100.007952196378,-0.00357848837002359,0.263786797662464
0.45,100,100.007448500277,-0.00335182512476111,0.255295746754831
0.454166666666667,100,100.006976702183,-0.00313951598236378,0.247077914792531
0.458333333333333,100,100.006534782842,-0.0029406522787353,0.239124519683767
0.4625,100,100.00612085073,-0.00275438282832546,0.231427060746135
0.466666666666667,100,100.005733133986,-0.00257991029353612,0.223977309770955
0.470833333333333,100,100.005369972851,-0.00241648778280443,0.216767302363691
0.475,100,100.005029812585,-0.0022634156630391,0.209789329552644
0.479166666666667,100,100.004711196829,-0.00212003857297319,0.203035929658269
0.483333333333333,100,100.004412761389,-0.00198574262483037,0.19649988041561
0.4875,100,100.004133228406,-0.00185995278248486,0.190174191342507
