"x","y","sigma_x","sigma_y","tau_xy","sigma_x_uniform","sigma_y_uniform","tau_xy_uniform","eps_x_uniform","eps_y_uniform","gamma_xy_uniform","u_uniform","v_uniform","eps_x","eps_y","gamma_xy","u_fixed","v_fixed_raw","v_fixed"
0.741666666666667,-0.136,99909397.7420419,40771.016081137,12462.7620322769,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.94285714285714e-05,0.000475700792558179,-0.000142533563364435,1.54300863256761e-07,0.000331336760226827,-9.6902476895668e-06,-1.07847978668983e-05
0.741666666666667,-0.132,99911010.3960292,40045.3217868417,13168.3806756465,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.88571428571429e-05,0.000475709508569015,-0.000142539322842962,1.63037094079433e-07,0.000331980727847584,-1.02604049809386e-05,-1.12121795688571e-05
0.741666666666667,-0.128,99912710.9807567,39280.0586594772,13860.954055822,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.82857142857143e-05,0.000475718699824566,-0.000142545396359845,1.71611812119702e-07,0.000332636038831137,-1.0830586566378e-05,-1.16185137346637e-05
0.741666666666667,-0.124,99914497.8052401,38475.9876419404,14539.7970781556,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.77142857142857e-05,0.000475728357185464,-0.000142551777875858,1.80016535253355e-07,0.000333301283263477,-1.14007936778815e-05,-1.20049242339539e-05
0.741666666666667,-0.12,99916369.0930085,37633.9081461506,15204.2384015137,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.71428571428571e-05,0.000475738471050308,-0.000142558461046459,1.88242951637789e-07,0.0003339754313244,-1.19710275220673e-05,-1.23724403498106e-05
0.741666666666667,-0.116,99918322.9839095,36754.6572407145,15853.6211063389,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.65714285714286e-05,0.000475749031365416,-0.000142565439228248,1.96282927983244e-07,0.000334657780304304,-1.25412892789803e-05,-1.27219534143442e-05
0.741666666666667,-0.112,99920357.5359981,35839.1088008513,16487.3033476459,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.6e-05,0.000475760027635037,-0.000142572705485708,2.04128517637521e-07,0.000335347890981052,-1.31115801009231e-05,-1.30541861511832e-05
0.741666666666667,-0.108,99922470.7275077,34888.1726215147,17104.6589922897,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.54285714285714e-05,0.000475771448932006,-0.000142580252598242,2.11771968475967e-07,0.000336045517488925,-1.36819011113161e-05,-1.33696753848828e-05
0.741666666666667,-0.104,99924660.4589007,33902.7934946841,17705.0782398627,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.48571428571429e-05,0.000475783283908821,-0.000142588073067503,2.19205730588776e-07,0.000336750534930212,-1.42522534035861e-05,-1.36687680242427e-05
0.741666666666667,-0.1,99926924.5549959,32883.9502518351,18287.9682265958,1e+08,0,0,0.000476190476190476,-0.000142857142857143,0,0.000353174603174603,1.42857142857143e-05,0.000475795520809145,-0.000142596159124985,2.26422463757853e-07,0.000337462868862114,-1.4822638040086e-05,-1.39516295095359e-05
